qseqid,sseqid,pident,ppos,length,evalue,bitscore
sp|A0A089QKZ7|Y155A_MYCTU,sp|A0A089QKZ7.1|,100.0,100.0,62,8.9e-37,119.0
sp|I6WZK7|MMCO_MYCTU,sp|Q09920.1|,27.549,41.21,461,8.18e-34,138.0
sp|I6X235|ADPP_MYCTU,sp|I6X235.1|,100.0,100.0,207,1.25e-149,416.0
sp|I6X486|PE25_MYCTU,sp|I6X486.1|,100.0,100.0,99,1.39e-65,195.0
sp|I6X4W0|Y2638_MYCTU,sp|I6X4W0.1|,100.0,100.0,148,9.54e-104,295.0
sp|I6X7F9|CDDTR_MYCTU,sp|I6X7F9.1|,100.0,100.0,107,2.72e-72,213.0
sp|I6X8D2|PKS13_MYCTU,sp|I6X8D2.1|,100.0,100.0,1733,0.0,3504.0
sp|I6X8D2|PKS13_MYCTU,sp|P9WQE6.1|,48.629,65.81,547,2.13e-150,511.0
sp|I6X8D2|PKS13_MYCTU,sp|P9WQE7.1|,48.629,65.81,547,2.8799999999999997e-150,511.0
sp|I6X8D2|PKS13_MYCTU,sp|A0R1E8.1|,36.055,51.43,943,1.21e-149,512.0
sp|I6X8D2|PKS13_MYCTU,sp|Q7TXM0.1|,48.446,65.63,547,1.6e-149,509.0
sp|I6X8D2|PKS13_MYCTU,sp|P96202.2|,36.907,53.16,886,3.0300000000000002e-148,509.0
sp|I6X8D2|PKS13_MYCTU,sp|Q84HC6.1|,34.536,50.93,970,6.16e-148,503.0
sp|I6X8D2|PKS13_MYCTU,sp|B4XYB8.1|,34.76,52.4,981,9.53e-148,502.0
sp|I6X8D2|PKS13_MYCTU,sp|B4ER92.1|,34.787,50.55,1009,1.38e-147,504.0
sp|I6X8D2|PKS13_MYCTU,sp|Q9ZGI4.1|,35.264,51.09,967,4.03e-145,502.0
sp|I6X8D2|PKS13_MYCTU,sp|G1XU04.1|,33.54,51.66,966,4.0600000000000004e-145,494.0
sp|I6X8D2|PKS13_MYCTU,sp|G3Y419.1|,32.847,50.26,959,8.53e-142,485.0
sp|I6X8D2|PKS13_MYCTU,sp|Q9ZGI5.1|,33.187,49.17,1139,9.23e-141,489.0
sp|I6X8D2|PKS13_MYCTU,sp|A0A075TRC0.1|,34.126,50.57,967,2.11e-138,476.0
sp|I6X8D2|PKS13_MYCTU,sp|P22367.1|,33.921,49.69,964,1.12e-137,473.0
sp|I6X8D2|PKS13_MYCTU,sp|Q0CJ59.1|,33.127,50.15,969,1.67e-137,473.0
sp|I6X8D2|PKS13_MYCTU,sp|A5U9F4.1|,34.847,48.67,1013,3.45e-137,476.0
sp|I6X8D2|PKS13_MYCTU,sp|E0D206.1|,34.283,50.33,1053,4.92e-137,478.0
sp|I6X8D2|PKS13_MYCTU,sp|O53901.2|,34.669,48.3,998,5.48e-137,475.0
sp|I6X8D2|PKS13_MYCTU,sp|Q02251.2|,34.82,51.38,942,3.29e-136,473.0
sp|I6X8D2|PKS13_MYCTU,sp|A1KQG0.1|,34.748,48.57,1013,5.7e-136,472.0
sp|I6X8D2|PKS13_MYCTU,sp|E0D206.1|,34.124,51.24,970,9.56e-136,474.0
sp|I6X8D2|PKS13_MYCTU,sp|E0D202.2|,33.491,50.38,1060,4.0699999999999996e-135,472.0
sp|I6X8D2|PKS13_MYCTU,sp|E0D203.1|,33.686,49.57,1039,4.3099999999999996e-135,472.0
sp|I6X8D2|PKS13_MYCTU,sp|B4ER95.1|,33.751,48.99,1037,1.2099999999999999e-134,470.0
sp|I6X8D2|PKS13_MYCTU,sp|A0A089QRB9.2|,35.834,51.29,893,6.89e-134,466.0
sp|I6X8D2|PKS13_MYCTU,sp|A0A1L9WN37.1|,32.882,49.53,961,9.99e-133,459.0
sp|I6X8D2|PKS13_MYCTU,sp|D4AU31.1|,32.609,49.31,1012,1.47e-131,460.0
sp|I6X8D2|PKS13_MYCTU,sp|E0D202.2|,32.925,49.25,1060,9.31e-131,459.0
sp|I6X8D2|PKS13_MYCTU,sp|E0D203.1|,34.607,50.83,968,6.41e-130,456.0
sp|I6X8D2|PKS13_MYCTU,sp|B2HIL7.1|,32.704,50.31,954,1.34e-127,447.0
sp|I6X8D2|PKS13_MYCTU,sp|E9F8M3.1|,32.558,48.55,1032,1.61e-127,448.0
sp|I6X8D2|PKS13_MYCTU,sp|A1CFL8.1|,33.191,49.89,934,2.38e-127,442.0
sp|I6X8D2|PKS13_MYCTU,sp|E0D202.2|,34.398,50.05,971,1.12e-124,440.0
sp|I6X8D2|PKS13_MYCTU,sp|E0D205.1|,33.574,49.79,968,3e-122,432.0
sp|I6X8D2|PKS13_MYCTU,sp|Q55DM7.1|,28.945,49.53,957,8.49e-119,421.0
sp|I6X8D2|PKS13_MYCTU,sp|B4ER97.1|,36.909,52.23,783,6.13e-118,418.0
sp|I6X8D2|PKS13_MYCTU,sp|Q54QD1.1|,28.846,48.58,988,4.79e-116,412.0
sp|I6X8R5|RV203_MYCTU,sp|I6X8R5.1|,100.0,100.0,136,3.8699999999999996e-94,270.0
sp|I6X961|Y461_MYCTU,sp|I6X961.3|,100.0,100.0,200,2.0400000000000002e-144,402.0
sp|I6XA42|TACT_MYCTU,sp|I6XA42.1|,100.0,100.0,166,1.45e-117,332.0
sp|I6XD65|PNCA_MYCTU,sp|I6XD65.1|,100.0,100.0,186,1.24e-135,379.0
sp|I6XD69|PKS12_MYCTU,sp|I6XD69.1|,100.0,100.0,4151,0.0,8162.0
sp|I6XD69|PKS12_MYCTU,sp|E0D203.1|,53.294,65.0,3066,0.0,2737.0
sp|I6XD69|PKS12_MYCTU,sp|Q7TXK8.1|,59.799,71.83,2087,0.0,2235.0
sp|I6XD69|PKS12_MYCTU,sp|B2HIL7.1|,58.349,71.04,2096,0.0,2175.0
sp|I6XD69|PKS12_MYCTU,sp|Q7TXK8.1|,54.971,67.64,2092,0.0,2004.0
sp|I6XD69|PKS12_MYCTU,sp|B2HIL7.1|,54.379,67.76,2078,0.0,1963.0
sp|I6XD69|PKS12_MYCTU,sp|B4ER96.1|,51.095,63.43,2100,0.0,1802.0
sp|I6XD69|PKS12_MYCTU,sp|Q9ZGI4.1|,47.475,60.0,2475,0.0,1794.0
sp|I6XD69|PKS12_MYCTU,sp|Q9ZGI4.1|,51.902,63.22,2129,0.0,1788.0
sp|I6XD69|PKS12_MYCTU,sp|E0D203.1|,48.089,61.33,2198,0.0,1685.0
sp|I6XD69|PKS12_MYCTU,sp|B4ER96.1|,48.243,60.97,2106,0.0,1668.0
sp|I6XD69|PKS12_MYCTU,sp|Q03132.3|,48.482,62.29,2042,0.0,1653.0
sp|I6XD69|PKS12_MYCTU,sp|P96285.4|,58.032,70.55,1606,0.0,1632.0
sp|I6XD69|PKS12_MYCTU,sp|Q03132.3|,43.673,58.67,2434,0.0,1625.0
sp|I6XD69|PKS12_MYCTU,sp|E0D203.1|,53.175,65.48,1764,0.0,1507.0
sp|I6XD69|PKS12_MYCTU,sp|E0D202.2|,52.036,64.92,1793,0.0,1475.0
sp|I6XD69|PKS12_MYCTU,sp|E0D206.1|,51.197,62.26,1754,0.0,1447.0
sp|I6XD69|PKS12_MYCTU,sp|P96285.4|,51.833,65.01,1609,0.0,1392.0
sp|I6XD69|PKS12_MYCTU,sp|E0D205.1|,47.167,59.28,1800,0.0,1363.0
sp|I6XD69|PKS12_MYCTU,sp|B4ER95.1|,48.404,60.66,1754,0.0,1329.0
sp|I6XD69|PKS12_MYCTU,sp|Q9ZGI5.1|,46.267,57.73,1902,0.0,1305.0
sp|I6XD69|PKS12_MYCTU,sp|E0D206.1|,54.095,64.73,1392,0.0,1253.0
sp|I6XD69|PKS12_MYCTU,sp|E0D206.1|,53.372,63.96,1379,0.0,1239.0
sp|I6XD69|PKS12_MYCTU,sp|E0D205.1|,53.874,65.31,1381,0.0,1235.0
sp|I6XD69|PKS12_MYCTU,sp|E0D205.1|,50.989,61.79,1416,0.0,1205.0
sp|I6XD69|PKS12_MYCTU,sp|B4ER95.1|,51.873,63.62,1388,0.0,1187.0
sp|I6XD69|PKS12_MYCTU,sp|B4ER95.1|,54.899,65.83,1235,0.0,1171.0
sp|I6XD69|PKS12_MYCTU,sp|E0D203.1|,51.267,62.06,1381,0.0,1137.0
sp|I6XD69|PKS12_MYCTU,sp|B4ER92.1|,50.036,60.73,1403,0.0,1132.0
sp|I6XD69|PKS12_MYCTU,sp|E0D205.1|,50.289,61.36,1382,0.0,1108.0
sp|I6XD69|PKS12_MYCTU,sp|E0D204.1|,57.527,68.28,1116,0.0,1107.0
sp|I6XD69|PKS12_MYCTU,sp|E0D202.2|,52.208,63.75,1291,0.0,1103.0
sp|I6XD69|PKS12_MYCTU,sp|E0D206.1|,48.918,59.81,1386,0.0,1086.0
sp|I6XD69|PKS12_MYCTU,sp|E0D202.2|,49.063,60.52,1388,0.0,1066.0
sp|I6XD69|PKS12_MYCTU,sp|B4ER92.1|,45.816,57.96,1458,0.0,1017.0
sp|I6XD69|PKS12_MYCTU,sp|B4ER95.1|,49.392,62.04,1233,0.0,1001.0
sp|I6XD69|PKS12_MYCTU,sp|E0D202.2|,48.435,62.36,1278,0.0,994.0
sp|I6XD69|PKS12_MYCTU,sp|E0D202.2|,60.698,71.96,888,0.0,986.0
sp|I6XD69|PKS12_MYCTU,sp|Q07017.1|,59.066,70.14,921,0.0,961.0
sp|I6XD69|PKS12_MYCTU,sp|E0D204.1|,51.975,63.11,1114,0.0,957.0
sp|I6XD69|PKS12_MYCTU,sp|Q9ZGI5.1|,44.222,55.71,1497,0.0,943.0
sp|I6XD69|PKS12_MYCTU,sp|E0D202.2|,58.277,69.24,894,0.0,927.0
sp|I6XD69|PKS12_MYCTU,sp|Q03132.3|,53.767,66.87,969,0.0,922.0
sp|I6XD69|PKS12_MYCTU,sp|Q9ZGI4.1|,55.495,67.36,919,0.0,916.0
sp|I6XD69|PKS12_MYCTU,sp|Q9ZGI3.1|,54.506,66.85,932,0.0,912.0
sp|I6XD69|PKS12_MYCTU,sp|Q9ZGI2.1|,53.863,66.63,932,0.0,910.0
sp|I6XD69|PKS12_MYCTU,sp|Q07017.1|,57.514,68.43,925,0.0,905.0
sp|I6XD69|PKS12_MYCTU,sp|Q9ZGI5.1|,57.063,67.63,899,0.0,904.0
sp|I6XD69|PKS12_MYCTU,sp|Q03131.1|,46.111,59.98,1247,0.0,900.0
sp|I6XD69|PKS12_MYCTU,sp|Q03133.4|,55.15,67.0,903,0.0,897.0
sp|I6XD69|PKS12_MYCTU,sp|Q03131.1|,56.278,67.51,908,0.0,887.0
sp|I6XD69|PKS12_MYCTU,sp|W3X8X8.1|,39.521,55.55,1460,0.0,883.0
sp|I6XD69|PKS12_MYCTU,sp|A0A089QRB9.2|,35.236,49.51,2137,0.0,866.0
sp|I6XD69|PKS12_MYCTU,sp|A0A2I2F2N6.1|,39.339,55.26,1482,0.0,862.0
sp|I6XD69|PKS12_MYCTU,sp|E0D202.2|,51.992,64.45,979,0.0,852.0
sp|I6XD69|PKS12_MYCTU,sp|Q03133.4|,44.776,59.62,1273,0.0,846.0
sp|I6XD69|PKS12_MYCTU,sp|A5U9F4.1|,34.374,48.21,2147,0.0,832.0
sp|I6XD69|PKS12_MYCTU,sp|A1KQG0.1|,34.299,48.22,2140,0.0,830.0
sp|I6XD69|PKS12_MYCTU,sp|Q03131.1|,54.576,65.65,885,0.0,819.0
sp|I6XD69|PKS12_MYCTU,sp|A0A089QRB9.2|,34.04,48.21,2124,0.0,815.0
sp|I6XD69|PKS12_MYCTU,sp|Q07017.1|,51.373,62.67,983,0.0,811.0
sp|I6XD69|PKS12_MYCTU,sp|Q9ZGI5.1|,48.744,62.51,995,0.0,810.0
sp|I6XD69|PKS12_MYCTU,sp|A5U9F4.1|,33.582,47.57,2144,0.0,810.0
sp|I6XD69|PKS12_MYCTU,sp|A1KQG0.1|,33.582,47.53,2144,0.0,807.0
sp|I6XD69|PKS12_MYCTU,sp|W3X8X8.1|,38.627,53.36,1398,0.0,802.0
sp|I6XD69|PKS12_MYCTU,sp|Q03131.1|,49.584,63.72,962,0.0,788.0
sp|I6XD69|PKS12_MYCTU,sp|Q03133.4|,53.146,65.06,890,0.0,784.0
sp|I6XD69|PKS12_MYCTU,sp|Q07017.1|,52.877,63.95,921,0.0,773.0
sp|I6XD69|PKS12_MYCTU,sp|Q9ZGI3.1|,48.684,62.94,912,0.0,766.0
sp|I6XD69|PKS12_MYCTU,sp|Q9ZGI4.1|,48.749,62.68,919,0.0,764.0
sp|I6XD69|PKS12_MYCTU,sp|A0A2I2F2N6.1|,38.187,52.96,1401,0.0,760.0
sp|I6XD69|PKS12_MYCTU,sp|E0D202.2|,51.571,61.43,923,0.0,757.0
sp|I6XD69|PKS12_MYCTU,sp|Q03132.3|,49.237,62.85,918,0.0,754.0
sp|I6XD69|PKS12_MYCTU,sp|Q03133.4|,48.904,62.94,912,0.0,753.0
sp|I6XD69|PKS12_MYCTU,sp|Q9ZGI2.1|,48.198,63.4,888,0.0,738.0
sp|I6XD69|PKS12_MYCTU,sp|D4AU31.1|,42.505,59.75,974,0.0,732.0
sp|I6XD69|PKS12_MYCTU,sp|B4ER97.1|,54.308,67.23,766,0.0,722.0
sp|I6XD69|PKS12_MYCTU,sp|E9F8M3.1|,43.496,59.25,984,0.0,715.0
sp|I6XD69|PKS12_MYCTU,sp|A0A172QE52.1|,29.008,44.84,2027,0.0,696.0
sp|I6XD69|PKS12_MYCTU,sp|Q9ZGI5.1|,47.155,60.18,914,0.0,679.0
sp|I6XD69|PKS12_MYCTU,sp|P9WQE2.1|,40.366,54.05,1147,0.0,667.0
sp|I6XD69|PKS12_MYCTU,sp|E0D202.2|,47.467,61.34,908,0.0,664.0
sp|I6XD69|PKS12_MYCTU,sp|A0A2I2F262.1|,41.768,59.15,984,0.0,664.0
sp|I6XEI5|LYS25_MYCTU,sp|I6XEI5.1|,100.0,100.0,240,3.24e-175,484.0
sp|I6XFS7|RDMTR_MYCTU,sp|I6XFS7.1|,100.0,100.0,188,4.68e-129,362.0
sp|I6XFZ8|Y3035_MYCTU,sp|I6XFZ8.2|,100.0,100.0,411,0.0,821.0
sp|I6XHI0|CHSH1_MYCTU,sp|I6XHI0.1|,100.0,100.0,129,2.8899999999999997e-90,259.0
sp|I6XHI4|FADA5_MYCTU,sp|I6XHI4.1|,100.0,100.0,391,0.0,787.0
sp|I6XHI4|FADA5_MYCTU,sp|I6XHJ3.2|,40.199,57.82,403,3.68e-85,267.0
sp|I6XHI4|FADA5_MYCTU,sp|O53871.1|,38.929,56.69,411,3.21e-78,249.0
sp|I6XHI4|FADA5_MYCTU,sp|Q489W4.1|,40.1,55.89,399,5.46e-75,240.0
sp|I6XHI4|FADA5_MYCTU,sp|Q5QXH8.1|,39.196,56.78,398,6.190000000000001e-75,240.0
sp|I6XHI4|FADA5_MYCTU,sp|O32177.1|,38.539,57.68,397,1.07e-74,240.0
sp|I6XHI4|FADA5_MYCTU,sp|Q1Q8K0.1|,40.253,55.95,395,1.4299999999999999e-74,239.0
sp|I6XHI4|FADA5_MYCTU,sp|B6EGU1.1|,38.404,55.61,401,1.4299999999999999e-74,239.0
sp|I6XHI4|FADA5_MYCTU,sp|A4STF3.1|,39.196,56.28,398,9.27e-74,237.0
sp|I6XHI4|FADA5_MYCTU,sp|Q4FQC7.1|,40.253,55.7,395,1.5200000000000002e-73,237.0
sp|I6XHI4|FADA5_MYCTU,sp|A0KEL0.1|,39.196,56.53,398,1.97e-73,236.0
sp|I6XHI4|FADA5_MYCTU,sp|A6VVM8.1|,39.646,55.3,396,1.23e-72,234.0
sp|I6XHJ3|FADA6_MYCTU,sp|I6XHJ3.2|,100.0,100.0,407,0.0,825.0
sp|I6XHJ3|FADA6_MYCTU,sp|Q43935.1|,40.842,59.65,404,1.0800000000000001e-85,269.0
sp|I6XHJ3|FADA6_MYCTU,sp|Q43974.1|,40.842,59.65,404,1.34e-85,269.0
sp|I6XHJ3|FADA6_MYCTU,sp|I6XHI4.1|,40.199,57.82,403,3.83e-85,267.0
sp|I6XHJ3|FADA6_MYCTU,sp|P0C7L3.1|,39.216,57.84,408,1.08e-82,261.0
sp|I6XHJ3|FADA6_MYCTU,sp|P0C7L2.1|,38.725,57.11,408,1.2699999999999999e-81,258.0
sp|I6XHJ3|FADA6_MYCTU,sp|A4TR28.1|,39.85,56.39,399,3.97e-81,257.0
sp|I6XHJ3|FADA6_MYCTU,sp|A1JIG3.1|,40.1,56.89,399,4.01e-81,257.0
sp|I6XHJ3|FADA6_MYCTU,sp|Q9I6R0.1|,40.394,59.11,406,4.61e-81,257.0
sp|I6XHJ3|FADA6_MYCTU,sp|O53871.1|,39.036,55.18,415,1.23e-80,256.0
sp|I6XHJ3|FADA6_MYCTU,sp|Q1Q8K0.1|,39.798,57.68,397,3.35e-80,254.0
sp|I6XHJ3|FADA6_MYCTU,sp|Q7MZ91.1|,39.348,56.89,399,3.67e-80,254.0
sp|I6XHJ3|FADA6_MYCTU,sp|Q3T0R7.1|,38.579,55.58,394,2.4200000000000002e-79,253.0
sp|I6XU97|EST45_MYCTU,sp|I6XU97.1|,100.0,100.0,298,0.0,596.0
sp|I6Y0R5|FOLC_MYCTU,sp|I6Y0R5.1|,100.0,100.0,487,0.0,962.0
sp|I6Y1I5|CEI_MYCTU,sp|I6Y1I5.1|,100.0,100.0,216,6.38e-158,438.0
sp|I6Y204|DACB2_MYCTU,sp|I6Y204.1|,100.0,100.0,291,0.0,587.0
sp|I6Y276|Y2993_MYCTU,sp|I6Y276.3|,100.0,100.0,265,0.0,533.0
sp|I6Y276|Y2993_MYCTU,sp|Q59050.1|,51.707,66.83,205,7.7e-69,215.0
sp|I6Y2J4|LIPY_MYCTU,sp|I6Y2J4.1|,100.0,100.0,437,0.0,850.0
sp|I6Y2J4|LIPY_MYCTU,sp|P9WIF9.1|,54.255,77.66,94,1.2e-18,91.3
sp|I6Y3I6|ESXU_MYCTU,sp|I6Y3I6.2|,100.0,100.0,105,8.56e-73,214.0
sp|I6Y3P1|LPRN_MYCTU,sp|I6Y3P1.1|,100.0,100.0,384,0.0,774.0
sp|I6Y3Q0|CHSE5_MYCTU,sp|I6Y3Q0.1|,100.0,100.0,373,0.0,734.0
sp|I6Y3Q0|CHSE5_MYCTU,sp|P71857.3|,30.056,46.07,356,1.29e-34,133.0
sp|I6Y3Q0|CHSE5_MYCTU,sp|Q5RBD5.1|,27.701,43.49,361,3.33e-24,106.0
sp|I6Y3T7|LTP2_MYCTU,sp|I6Y3T7.1|,100.0,100.0,386,0.0,790.0
sp|I6Y3U6|ECH20_MYCTU,sp|I6Y3U6.1|,100.0,100.0,247,0.0,499.0
sp|I6Y3U6|ECH20_MYCTU,sp|Q0S7P8.1|,74.286,84.08,245,1.22e-130,372.0
sp|I6Y3U6|ECH20_MYCTU,sp|Q4WF54.1|,33.945,48.17,218,6.5299999999999995e-24,99.8
sp|I6Y3U6|ECH20_MYCTU,sp|Q1ZXF1.1|,31.907,48.64,257,9.629999999999999e-24,99.4
sp|I6Y3U6|ECH20_MYCTU,sp|B4T6J5.1|,30.769,49.77,221,2.38e-23,98.2
sp|I6Y3U6|ECH20_MYCTU,sp|B4TIG9.1|,30.769,49.77,221,2.4599999999999996e-23,98.2
sp|I6Y3U6|ECH20_MYCTU,sp|Q8Z9L5.3|,30.769,49.77,221,2.5899999999999996e-23,97.8
sp|I6Y3U6|ECH20_MYCTU,sp|B5R1Q9.1|,30.317,49.77,221,6.949999999999999e-23,96.7
sp|I6Y3U6|ECH20_MYCTU,sp|A8ALR7.1|,29.864,49.77,221,7.559999999999999e-23,96.7
sp|I6Y3U6|ECH20_MYCTU,sp|A9MYJ5.1|,30.317,49.77,221,9.3e-23,96.7
sp|I6Y3U6|ECH20_MYCTU,sp|B5BL54.1|,30.317,49.77,221,1.1e-22,96.3
sp|I6Y3V5|IPDE1_MYCTU,sp|I6Y3V5.1|,100.0,100.0,385,0.0,785.0
sp|I6Y3V5|IPDE1_MYCTU,sp|A0R4Z9.1|,82.785,89.87,395,0.0,666.0
sp|I6Y3V5|IPDE1_MYCTU,sp|P95280.2|,42.928,58.06,403,5e-98,300.0
sp|I6Y3V5|IPDE1_MYCTU,sp|P96855.2|,38.439,52.02,346,1.8399999999999997e-52,188.0
sp|I6Y3V5|IPDE1_MYCTU,sp|I6YCA3.1|,30.846,48.51,402,4.659999999999999e-42,154.0
sp|I6Y498|BAGB_MYCTU,sp|I6Y498.1|,100.0,100.0,386,0.0,776.0
sp|I6Y4D2|PEPAM_MYCTU,sp|I6Y4D2.1|,100.0,100.0,241,2.78e-176,486.0
sp|I6Y4U9|DYP_MYCTU,sp|I6Y4U9.1|,100.0,100.0,335,0.0,681.0
sp|I6Y778|FABG4_MYCTU,sp|I6Y778.1|,100.0,100.0,454,0.0,903.0
sp|I6Y778|FABG4_MYCTU,sp|Q9X248.1|,42.51,59.51,247,2.96e-50,174.0
sp|I6Y778|FABG4_MYCTU,sp|Q9KQH7.2|,40.65,59.35,246,4.69e-48,168.0
sp|I6Y778|FABG4_MYCTU,sp|O54438.1|,44.398,60.58,241,1.19e-47,167.0
sp|I6Y778|FABG4_MYCTU,sp|O67610.1|,40.0,57.96,245,3.59e-46,163.0
sp|I6Y778|FABG4_MYCTU,sp|P0A2C9.1|,40.486,59.11,247,2.0799999999999998e-45,161.0
sp|I6Y778|FABG4_MYCTU,sp|P0AEK2.1|,41.129,58.06,248,5.96e-45,159.0
sp|I6Y778|FABG4_MYCTU,sp|P55336.1|,40.249,59.75,241,1.57e-44,159.0
sp|I6Y778|FABG4_MYCTU,sp|P43713.1|,38.683,58.44,243,1.2899999999999998e-42,153.0
sp|I6Y778|FABG4_MYCTU,sp|P72332.1|,41.25,55.42,240,6.34e-41,149.0
